,"American Airlines Group Inc - GJR-GARCH Volatility"
2024-05-20,0.3942042100231808
2024-05-21,0.40798559974587334
2024-05-22,0.4022080924098868
2024-05-23,0.40303549769220076
2024-05-24,0.39727436312956316
2024-05-28,0.4057434154733753
2024-05-29,0.6608287070035622
2024-05-30,0.6517752802922184
2024-05-31,0.6405421953314239
2024-06-03,0.6294881921053007
2024-06-04,0.6187210356857119
2024-06-05,0.6084344960634629
2024-06-06,0.6010076937943474
2024-06-07,0.5908919596677552
2024-06-10,0.5808868323520512
2024-06-11,0.5749699853035809
2024-06-12,0.5665035604477698
2024-06-13,0.5573383496584458
2024-06-14,0.5504124780562301
2024-06-17,0.5419453293460513
2024-06-18,0.5354227003032277
2024-06-20,0.5267730061421143
2024-06-21,0.5183176323452637
2024-06-24,0.5100533972046456
2024-06-25,0.5019035899453201
2024-06-26,0.49385218922264584
2024-06-27,0.4867367193873912
2024-06-28,0.4790904382264376
2024-07-01,0.48077154616303996
2024-07-02,0.47318899099619804
2024-07-03,0.4659319229243689
2024-07-05,0.4594267702256803
2024-07-08,0.45377535499407634
2024-07-09,0.44689268778980934
2024-07-10,0.4410621956141787
2024-07-11,0.456032754086809
2024-07-12,0.4493303497428145
2024-07-15,0.442790650307795
2024-07-16,0.44697269715274557
2024-07-17,0.4440503647110314
2024-07-18,0.456334369514285
2024-07-19,0.4495146582704506
2024-07-22,0.4430863789375611
2024-07-23,0.4422232178436587
2024-07-24,0.4488501308900332
2024-07-25,0.4490215322231218
2024-07-26,0.44217848251582753
2024-07-29,0.44034414087165963
2024-07-30,0.4377522984519899
2024-07-31,0.43305954232645655
2024-08-01,0.46070627953176413
2024-08-02,0.49045429511831173
2024-08-05,0.5008665343182752
2024-08-06,0.49286627395268184
2024-08-07,0.4853978046921927
2024-08-08,0.49398081258283705
2024-08-09,0.4862207054414692
2024-08-12,0.48743738182457863
2024-08-13,0.4813121988896604
2024-08-14,0.47442124067119934
2024-08-15,0.47182559871206653
2024-08-16,0.4646654202757077
2024-08-19,0.4600423341389355
2024-08-20,0.45298449907254
2024-08-21,0.4464974208212182
2024-08-22,0.44912551430529973
2024-08-23,0.4447065095093617
2024-08-26,0.4424836471554627
2024-08-27,0.4360089856872218
2024-08-28,0.42951352341922827
2024-08-29,0.42546091806416253
2024-08-30,0.4212367889916549
2024-09-03,0.4150865394107595
2024-09-04,0.40906228914433074
2024-09-05,0.4042844478829231
2024-09-06,0.39848357105406496
2024-09-09,0.39952802955487365
2024-09-10,0.4008982424506249
2024-09-11,0.4018852313783128
2024-09-12,0.3966177091356361
2024-09-13,0.39615666900861335
2024-09-16,0.39113437639767745
2024-09-17,0.39069831020878504
2024-09-18,0.38791694626556344
2024-09-19,0.3827630248600301
2024-09-20,0.37889962945350053
2024-09-23,0.37384904172673755
2024-09-24,0.3689407074314246
2024-09-25,0.3642446216486937
2024-09-26,0.38307651141775845
2024-09-27,0.3844486597713666
2024-09-30,0.3924812759865112
2024-10-01,0.40258709666356673
2024-10-02,0.4004127410560258
2024-10-03,0.3949599569576643
2024-10-04,0.40690268615481023
2024-10-07,0.4010524998052001
2024-10-08,0.40040547199058113
2024-10-09,0.39470153027319266
2024-10-10,0.39257741402174423
2024-10-11,0.38709104510437853
2024-10-14,0.3819268694396874
2024-10-15,0.3775388520404224
2024-10-16,0.39506655894924847
2024-10-17,0.3901387922265614
2024-10-18,0.38689308755779034
2024-10-21,0.3829654861733626
2024-10-22,0.3776945432489064
2024-10-23,0.37432254487273403
2024-10-24,0.3695252651714088
2024-10-25,0.36863293938550856
2024-10-28,0.3693454236889906
2024-10-29,0.3656900572889561
2024-10-30,0.3612169879726035
2024-10-31,0.38403256268186425
2024-11-01,0.37924518243479377
2024-11-04,0.40298509898009877
2024-11-05,0.3982867203410126
2024-11-06,0.40880756842309074
2024-11-07,0.41500056481889275
2024-11-08,0.4097983221049106
2024-11-11,0.4066856830526494
2024-11-12,0.40596815392343283
2024-11-13,0.40036069037806393
2024-11-14,0.3960985559175898
2024-11-15,0.3908805444122283
2024-11-18,0.3862288316529464
2024-11-19,0.38090470619303196
2024-11-20,0.37607030778831774
2024-11-21,0.3767156179401115
2024-11-22,0.37236746850389607
2024-11-25,0.37403961982656325
2024-11-26,0.3752835392073572
2024-11-27,0.37019253639153776
2024-11-29,0.3664388680257596
2024-12-02,0.36176178405132847
2024-12-03,0.35870335989505314
2024-12-04,0.3580308293988103
2024-12-05,0.46141749641729024
2024-12-06,0.4542789640738387
2024-12-09,0.45010957066030044
2024-12-10,0.44471812600792426
2024-12-11,0.4380701245234603
2024-12-12,0.43720700268865775
2024-12-13,0.4359199692604137
2024-12-16,0.4379941273578905
2024-12-17,0.43200541663270847
2024-12-18,0.42901667380184655
2024-12-19,0.4230816346758626
2024-12-20,0.41772855779800355
2024-12-23,0.4136849540411157
2024-12-24,0.407808073975982
2024-12-26,0.4019224134083592
2024-12-27,0.3961785506561404
2024-12-30,0.39168652108542107
2024-12-31,0.38817550772814097
2025-01-02,0.393276795654155
2025-01-03,0.38779531766126313
2025-01-06,0.387220216414381
2025-01-07,0.38227973893472306
2025-01-08,0.37746615636371955
2025-01-10,0.38142693245233744
2025-01-13,0.4075483338206648
2025-01-14,0.40690931274671016
2025-01-15,0.4020148519644517
2025-01-16,0.39694260088834
