,"US Global Jets ETF - GJR-GARCH Volatility"
2018-03-01,0.2620791346139559
2018-03-02,0.25328527237089804
2018-03-05,0.2451485092755002
2018-03-06,0.23759678785707522
2018-03-07,0.23079749305397582
2018-03-08,0.22579382365334977
2018-03-09,0.22372555061950344
2018-03-12,0.21742495808899218
2018-03-13,0.21244516468962057
2018-03-14,0.21931745758147025
2018-03-15,0.21335887794980551
2018-03-16,0.20960927651227654
2018-03-19,0.20788963610531433
2018-03-20,0.2026878151246394
2018-03-21,0.20881519772277113
2018-03-22,0.2512182373952974
2018-03-23,0.2560900583779074
2018-03-26,0.2506817017654061
2018-03-27,0.25779496969491084
2018-03-28,0.25022379023586067
2018-03-29,0.2485985945253915
2018-04-02,0.3120943588083578
2018-04-03,0.3097104279807188
2018-04-04,0.298683875025084
2018-04-05,0.28969985226092193
2018-04-06,0.3010714984849944
2018-04-09,0.29344864013997407
2018-04-10,0.2899191059588864
2018-04-11,0.2933065679455542
2018-04-12,0.28797796790726893
2018-04-13,0.279271757970619
2018-04-16,0.2709068836334729
2018-04-17,0.2618821368478576
2018-04-18,0.2607897083858947
2018-04-19,0.2561198235201641
2018-04-20,0.24766847356900315
2018-04-23,0.23976325072871366
2018-04-24,0.24860361220223653
2018-04-25,0.24108825769829603
2018-04-26,0.24801250210422862
2018-04-27,0.24100624307266402
2018-04-30,0.24272517051183629
2018-05-01,0.23549905987073494
2018-05-02,0.23122309227237664
2018-05-03,0.23128858337583375
2018-05-04,0.2258616700549254
2018-05-07,0.22400584367377563
2018-05-08,0.21765270225751854
2018-05-09,0.22207052123143226
2018-05-10,0.21643312408224394
2018-05-11,0.2118015127424731
2018-05-14,0.21001121970028172
2018-05-15,0.20441441729975895
2018-05-16,0.20310227768294475
2018-05-17,0.19866025369962656
2018-05-18,0.19551149838308743
2018-05-21,0.19546380227551086
2018-05-22,0.20578940789068811
2018-05-23,0.2044788820391974
2018-05-24,0.20280607979052306
2018-05-25,0.20476496868361055
2018-05-29,0.23193574110084889
2018-05-30,0.22524405164176922
2018-05-31,0.21964869951811689
2018-06-01,0.21349206542632915
2018-06-04,0.2109166593704727
2018-06-05,0.21413198920292129
2018-06-06,0.20843911916912333
2018-06-07,0.20457221512219104
2018-06-08,0.19932472300244145
2018-06-11,0.1983839731429936
2018-06-12,0.1954679278040262
2018-06-13,0.19081257505730592
2018-06-14,0.18644979485105367
2018-06-15,0.18255366553427518
2018-06-18,0.17873708960369697
2018-06-19,0.1929237372642361
2018-06-20,0.18908058282118764
2018-06-21,0.18484738028979475
2018-06-22,0.1913921283647789
2018-06-25,0.22241737791818333
2018-06-26,0.220746376640705
2018-06-27,0.23137093853809731
2018-06-28,0.22450247392846254
2018-06-29,0.21830322856064224
2018-07-02,0.21412410420127856
2018-07-03,0.21249960376433646
2018-07-05,0.20876679908452875
2018-07-06,0.2041462946026697
2018-07-09,0.20106397489356467
2018-07-10,0.19757813239323832
2018-07-11,0.24225320802829423
2018-07-12,0.24014877638663915
2018-07-13,0.23491498802758415
2018-07-16,0.2287382180572368
2018-07-17,0.22284953937578603
2018-07-18,0.22871579744302753
2018-07-19,0.22193839415477443
2018-07-20,0.21793288508162323
2018-07-23,0.21185879353947054
2018-07-24,0.23148347586814919
2018-07-25,0.22767724787514454
2018-07-26,0.23045761779555043
2018-07-27,0.2240276107983121
2018-07-30,0.22135929707152577
2018-07-31,0.21602720661990701
2018-08-01,0.23126542932310487
2018-08-02,0.22428713471797707
2018-08-03,0.2186939752256564
2018-08-06,0.21250849771244443
2018-08-07,0.2074487223387987
2018-08-08,0.20286670796362816
2018-08-09,0.1993716218522586
2018-08-10,0.21657850031801404
2018-08-13,0.21271550296111472
2018-08-14,0.20899234244344936
2018-08-15,0.20389351632653746
2018-08-16,0.19884587498864542
2018-08-17,0.19400675039802096
2018-08-20,0.20544330312765127
2018-08-21,0.20066658914727187
2018-08-22,0.2096324182944995
2018-08-23,0.204242555800695
2018-08-24,0.19913435966703485
2018-08-27,0.1952730303959049
2018-08-28,0.1939306185211608
2018-08-29,0.18937622554058892
2018-08-30,0.19230359435018368
2018-08-31,0.18852527045465284
2018-09-04,0.18436250486473654
2018-09-05,0.18547540214271002
2018-09-06,0.1901455947425551
2018-09-07,0.1858729307887515
2018-09-10,0.18326918235208012
2018-09-11,0.1799642064411699
2018-09-12,0.18516516195008173
2018-09-13,0.18295774922096084
2018-09-14,0.17915962826485213
2018-09-17,0.17721412133348743
2018-09-18,0.17376945761554305
2018-09-19,0.17128027557194084
2018-09-20,0.16902064962601465
2018-09-21,0.17016857876823208
2018-09-24,0.2117382657905746
2018-09-25,0.21166041576071798
2018-09-26,0.20699487819750517
2018-09-27,0.20223194703112563
2018-09-28,0.19750057012575936
2018-10-01,0.21933124538013274
2018-10-02,0.22928988813290482
